"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,Afghanistan,Internally displaced,758625,1200000,665156,184269,159549,142505,129310,153718,230670,297129,351907,447547,486298,631286
Afghanistan,Afghanistan,Returned IDPs,,,753344,82067,27391,17044,10443,8012,6453,7225,3366,75453,18830,21830
Afghanistan,Afghanistan,Others of concern,,,,,,,,,,,838250,951167,879376,275486
Afghanistan,Antigua and Barbuda,Returned refugees,,,,,,,,4,,,,,,
Afghanistan,Australia,Returned refugees,,,,,,4,,4,1,1,,,,
Afghanistan,Austria,Returned refugees,,,,,,25,22,2,8,,,,,
Afghanistan,Azerbaijan,Returned refugees,,,19,25,3,22,1,6,,,10,8,2,17
Afghanistan,Bangladesh,Returned refugees,,,1,,,,,,,,,,,
Afghanistan,Belarus,Returned refugees,,,,6,20,24,15,12,,1,,,,
Afghanistan,Belgium,Returned refugees,,,,,,11,6,6,15,1,,,,
Afghanistan,Brazil,Returned refugees,,,,13,,1,,,,,,,,
Afghanistan,Bulgaria,Returned refugees,,,,7,,,,,,,,,,
Afghanistan,Cambodia,Returned refugees,,,,2,,,,,,,,,,
Afghanistan,Chile,Returned refugees,,,,,2,,1,,,,,,,
Afghanistan,China,Asylum seekers,,,,4,,2,,,,,,,,
Afghanistan,Denmark,Returned refugees,,,,,,65,5,4,1,,,,,
Afghanistan,Egypt,Returned refugees,,,6,4,,1,,,,,,,,
Afghanistan,Eritrea,Refugees,,,,,,,,,,1,,,,
Afghanistan,Eritrea,Asylum seekers,,,,,,,,,1,,,,,
Afghanistan,Ethiopia,Returned refugees,,,,,,,,1,,,,,,
Afghanistan,Finland,Returned refugees,,,,,,1,2,6,,,,,,
Afghanistan,France,Returned refugees,,,20,,,7,4,4,2,11,,,,
Afghanistan,Georgia,Returned refugees,,,2,,,9,,,,,,,,
Afghanistan,Germany,Returned refugees,,,,,,197,172,46,32,6,,,,
Afghanistan,Greece,Returned refugees,,,,,,,69,39,56,,,,,
Afghanistan,Hungary,Returned refugees,,,,1,,,,3,,,,,,
Afghanistan,India,Returned refugees,19,24,129,192,101,89,78,25,9,19,65,98,105,117
Afghanistan,Indonesia,Returned refugees,,,,,,4,5,13,24,7,4,,3,
Afghanistan,Iraq,Refugees,,3,1,3,3,1,1,4,7,6,6,3,2,*
Afghanistan,Iraq,Asylum seekers,2,,6,25,1,,,,2,,,1,2,*
Afghanistan,Iraq,Returned refugees,,,,,,,1,,,,,,,
Afghanistan,Ireland,Returned refugees,,,,1,,,,1,,,,,,
Afghanistan,Islamic Republic of Iran,Refugees,,3,2,19,26,31,34,38,30,30,30,34,37,36
Afghanistan,Islamic Republic of Iran,Asylum seekers,,,12,41,28,5,5,2,4,9,21,25,12,18
Afghanistan,Islamic Republic of Iran,Returned refugees,215566,18000,376247,269391,454547,289641,243648,7462,3656,6028,8487,18851,15035,8247
Afghanistan,Italy,Returned refugees,,,,,,2,,1,2,,,,,
Afghanistan,Japan,Returned refugees,,,,2,,5,1,,,,,,,
Afghanistan,Kazakhstan,Returned refugees,,,15,19,19,22,11,,,,,6,7,*
Afghanistan,Kyrgyzstan,Asylum seekers,,,,,,,,,,,,,,*
Afghanistan,Kyrgyzstan,Returned refugees,,,68,15,,2,6,9,13,23,5,,3,
Afghanistan,Lithuania,Returned refugees,,,,,,,,,,,,1,,
Afghanistan,Malaysia,Returned refugees,,,,5,,,,1,,,,,,
Afghanistan,Mexico,Returned refugees,,,,1,,,,,,,,,,
Afghanistan,Netherlands,Returned refugees,,,,81,,206,162,21,14,5,,,,
Afghanistan,Norway,Returned refugees,,,,,,28,47,28,12,5,,,,
Afghanistan,Pakistan,Refugees,,,,,1,,,,,,6398,2972,16147,16825
Afghanistan,Pakistan,Asylum seekers,,,,,,7,,2,3,3,9,27,37,45
Afghanistan,Pakistan,Returned refugees,76773,8000,1569248,375526,424477,461118,143019,365663,274200,51290,109383,52096,83423,31224
Afghanistan,Palestinian,Refugees,,,,,,,,,,,,,,*
Afghanistan,Poland,Returned refugees,,,,,,,,1,,,,,,
Afghanistan,Republic of Moldova,Returned refugees,,,,,,,,,,1,,,,
Afghanistan,Russian Federation,Returned refugees,,,,162,157,183,47,49,31,54,38,22,15,19
Afghanistan,Saudi Arabia,Returned refugees,,,,3,107,,,,,,,,,
Afghanistan,Sri Lanka,Returned refugees,,,,3,,,,1,,,,,,
Afghanistan,Swaziland,Returned refugees,,,,,,,,1,,,,,,
Afghanistan,Sweden,Returned refugees,,,,,,6,,11,19,4,,,,
Afghanistan,Switzerland,Returned refugees,,,,,,7,4,8,4,,,,,
Afghanistan,Syrian Arab Republic,Refugees,,,,,,,,,,,,,1,
Afghanistan,Syrian Arab Republic,Returned refugees,,,,8,,,,,,,,4,,
Afghanistan,Tajikistan,Asylum seekers,1,,,,,,,,,,,,,*
Afghanistan,Tajikistan,Returned refugees,,,11820,144,65,25,51,27,15,20,38,52,6,41
Afghanistan,Turkey,Returned refugees,6,,,,,1,10,,,,,,,
Afghanistan,Turkmenistan,Returned refugees,120,68,283,33,189,11,1,3,6,5,,,,
Afghanistan,Ukraine,Returned refugees,,,7,21,5,10,6,7,1,1,,7,10,
Afghanistan,United Kingdom,Returned refugees,,,,82,19,354,523,387,347,99,,,,
Afghanistan,United States,Returned refugees,,,,,,3,,,,,,,,
Afghanistan,Uzbekistan,Returned refugees,,,93,117,69,,,,21,1,2,,,
Albania,Afghanistan,Asylum seekers,,,,,,,,1,,,,,,
Albania,Algeria,Refugees,,,,,,,,1,1,,,1,1,
Albania,Algeria,Asylum seekers,,,,,,,1,,,,,,,
Albania,Argentina,Returned refugees,,,3,,,,,,,,,,,
Albania,Bangladesh,Asylum seekers,,,1,,,,1,,,,,,,
Albania,Barbados,Asylum seekers,,,,,,,,,,,,,1,
Albania,Belgium,Asylum seekers,,,,1,,,,,,,,,,
Albania,China,Refugees,,,,,,,5,5,4,6,6,9,10,12
Albania,China,Asylum seekers,,,,,1,1,2,1,,,,,,
Albania,Czech Republic,Refugees,,,,,,,,2,2,2,2,2,,
Albania,Czech Republic,Asylum seekers,,,,,,,,2,2,,,,,
Albania,Democratic Republic of the Congo,Refugees,,,,,,,,,,,,,,5
Albania,Democratic Republic of the Congo,Asylum seekers,,,,,,,,,,,,,5,
Albania,Egypt,Refugees,,,,,,,,1,1,1,3,3,2,*
Albania,Egypt,Asylum seekers,,,,,,,1,,,,,,,
Albania,Federal Republic of Yugoslavia,Refugees,507,278,6,,,,,,,,,,,
Albania,Federal Republic of Yugoslavia,Asylum seekers,4,4,30,,,,,,,,,,,
Albania,India,Asylum seekers,,,,,,4,,,,,,,,
Albania,Iraq,Refugees,9,7,3,7,9,7,4,5,5,5,5,5,5,5
Albania,Iraq,Asylum seekers,,,3,,,,,,,,2,,,
Albania,Islamic Republic of Iran,Refugees,,1,,1,1,1,,,,,1,,,
Albania,Islamic Republic of Iran,Asylum seekers,,,,1,,,,,,1,,,,196
Albania,Liberia,Refugees,,,,,,,,,,,,1,,
Albania,Liberia,Asylum seekers,,,,,,2,2,,,,,,,
Albania,Libyan Arab Jamahiriya,Refugees,,,,,,,,,,,1,,,
Albania,Mauritania,Asylum seekers,,,1,,,,,,,,,,,
Albania,Montenegro,Refugees,,,,,,,,,,1,1,2,2,*
Albania,Morocco,Asylum seekers,,,2,1,1,1,1,1,,,,,,
Albania,Nepal,Refugees,,,,,,1,,,,,,,,
Albania,Nepal,Asylum seekers,,,,,1,,,,,,,,,
Albania,Nigeria,Refugees,,,,,,,,2,,,,,,
Albania,Nigeria,Asylum seekers,,,,,,,,1,,,,,,
Albania,Occupied Palestinian Territory,Refugees,,,,,,1,1,2,2,3,3,3,,
Albania,Palestinian,Refugees,,,,,,,,,,,,,4,*
Albania,Peru,Refugees,,,,,,,,,,,,,,*
Albania,Peru,Returned refugees,1,,,,,,,,,,,,,
Albania,Republic of Moldova,Refugees,,,1,1,1,,,,,,,,,
Albania,Republic of Moldova,Asylum seekers,,1,1,1,,,,,,,,,,
Albania,Romania,Asylum seekers,,,1,2,,,,,,,,,,
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Refugees,,,,,,,40,51,47,48,49,50,54,54
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Asylum seekers,,,,,,,19,16,20,19,20,21,18,17
Albania,Serbia (and Kosovo: S/RES/1244 (1999)),Returned refugees,,,,,,,1,,,,,,,
Albania,Serbia and Montenegro,Refugees,,,,10,33,40,,,,,,,,
Albania,Serbia and Montenegro,Asylum seekers,,,,76,23,22,,,,,,,,
Albania,Somalia,Asylum seekers,,,,,,,,,,,,3,,
Albania,Stateless,Stateless,,,,,,,,,,,,,7443,7443
Albania,Sudan,Refugees,2,,,,,,,,,,,,,
Albania,Syrian Arab Republic,Asylum seekers,,,,,,,,,,,,,3,15
Albania,The former Yugoslav Republic of Macedonia,Refugees,,6,,,,,,,,,,,,
Albania,The former Yugoslav Republic of Macedonia,Asylum seekers,,29,2,10,7,5,8,,,,1,,,
Albania,Tunisia,Refugees,,,,,,,,,,,1,1,2,
Albania,Tunisia,Asylum seekers,,,,,2,,,,,,,,,
Albania,Turkey,Refugees,5,,7,7,7,6,6,7,2,3,3,3,3,*
Albania,Turkey,Asylum seekers,,37,11,1,1,,,,,,,,1,
Albania,United Kingdom,Returned refugees,,,,,,,9,2,,,,,,
Albania,Uzbekistan,Refugees,,,,,,,,1,1,1,1,2,3,*
Albania,Uzbekistan,Asylum seekers,,,,,,,1,,,,,,,
Algeria,Afghanistan,Refugees,,,,,,,,,,,,,2,*
Algeria,Afghanistan,Asylum seekers,,,,,,,,,,,,5,,
